year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,96.58,96.58,96.58
2016-01-01,80.37,82.42,-75.58
2017-01-01,98.35,138.37,-3.51
2018-01-01,95.79,144.59,-35.2
2019-01-01,93.29,125.45,-68.79
2020-01-01,90.86,109.68,-104.25
2021-01-01,88.49,105.4,-32.18
2022-01-01,86.19,125.28,-63.87
2023-01-01,83.94,136.76,-97.46
2024-01-01,81.75,123.0,-132.91
2025-01-01,79.62,111.12,-60.85
2026-01-01,77.55,114.8,-92.54
2027-01-01,75.53,124.78,-126.13
2028-01-01,73.56,128.49,-161.58
2029-01-01,71.64,121.82,-89.52
2030-01-01,69.78,115.23,-121.21
