year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,13.0,13.0,13.0
2016-01-01,12.99,11.07,15.77
2017-01-01,12.84,10.99,15.56
2018-01-01,13.34,12.01,16.03
2019-01-01,12.96,13.72,16.57
2020-01-01,12.88,13.91,17.17
2021-01-01,12.55,13.4,16.96
2022-01-01,12.56,12.06,17.43
2023-01-01,12.39,11.74,17.97
2024-01-01,12.34,11.96,18.56
2025-01-01,12.15,12.95,18.36
2026-01-01,12.06,13.31,18.83
2027-01-01,11.91,13.26,19.36
2028-01-01,11.82,12.57,19.96
2029-01-01,11.68,12.22,19.76
2030-01-01,11.58,12.16,20.23
