year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,97.38,97.38,97.38
2016-01-01,96.14,91.21,66.68
2017-01-01,94.92,121.71,68.29
2018-01-01,93.71,120.63,65.67
2019-01-01,92.53,104.81,62.38
2020-01-01,91.35,114.34,58.42
2021-01-01,90.19,113.97,60.03
2022-01-01,89.05,100.28,57.41
2023-01-01,87.92,103.44,54.12
2024-01-01,86.8,107.79,50.16
2025-01-01,85.7,101.7,51.78
2026-01-01,84.61,103.45,49.15
2027-01-01,83.54,108.8,45.86
2028-01-01,82.48,106.28,41.91
2029-01-01,81.43,105.69,43.52
2030-01-01,80.4,108.77,40.89
