year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,138.84,138.84,138.84
2017-01-01,141.91,148.15,139.75
2018-01-01,146.09,149.97,139.51
2019-01-01,146.92,144.37,140.44
2020-01-01,141.23,142.99,142.54
2021-01-01,134.91,144.67,134.7
2022-01-01,138.11,146.19,134.46
2023-01-01,138.87,144.51,135.39
2024-01-01,138.75,142.99,137.49
2025-01-01,135.02,143.72,129.65
2026-01-01,132.66,144.41,129.41
2027-01-01,131.61,143.84,130.34
2028-01-01,131.88,143.09,132.44
2029-01-01,132.36,143.19,124.6
2030-01-01,129.68,143.54,124.36
2031-01-01,127.19,143.36,125.29
