year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,112.77,112.77,112.77
2016-01-01,112.72,92.31,163.38
2017-01-01,104.98,111.6,128.11
2018-01-01,97.23,45.37,128.39
2019-01-01,89.49,51.03,130.41
2020-01-01,81.75,-7.59,134.14
2021-01-01,74.01,26.75,98.87
2022-01-01,66.27,-63.26,99.15
2023-01-01,58.53,-37.75,101.16
2024-01-01,50.78,-148.82,104.89
2025-01-01,43.04,-91.34,69.63
2026-01-01,35.3,-234.07,69.91
2027-01-01,27.56,-168.39,71.92
2028-01-01,19.82,-358.45,75.65
2029-01-01,12.07,-254.75,40.38
2030-01-01,4.33,-494.95,40.66
