year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2016-01-01,77.31,77.31,77.31
2017-01-01,63.64,93.58,72.74
2018-01-01,63.35,104.84,72.32
2019-01-01,61.37,96.47,71.32
2020-01-01,72.58,94.06,69.76
2021-01-01,68.31,98.12,70.04
2022-01-01,71.65,91.73,69.61
2023-01-01,63.69,82.8,68.62
2024-01-01,67.64,82.98,67.06
2025-01-01,63.59,82.92,67.33
2026-01-01,69.85,78.74,66.9
2027-01-01,64.78,79.06,65.91
2028-01-01,69.29,83.08,64.35
2029-01-01,63.2,83.97,64.62
2030-01-01,68.1,84.23,64.19
2031-01-01,63.07,87.1,63.2
