year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,28.48,28.48,28.48
2016-01-01,21.26,30.9,31.65
2017-01-01,16.84,32.56,34.43
2018-01-01,11.38,36.62,28.5
2019-01-01,6.31,39.54,21.92
2020-01-01,1.09,41.51,14.7
2021-01-01,-4.06,43.53,17.49
2022-01-01,-9.24,46.85,11.55
2023-01-01,-14.42,49.86,4.97
2024-01-01,-19.59,51.72,-2.23
2025-01-01,-24.77,53.49,0.54
2026-01-01,-29.95,56.28,-5.38
2027-01-01,-35.12,59.12,-11.96
2028-01-01,-40.3,60.95,-19.17
2029-01-01,-45.48,62.49,-16.39
2030-01-01,-50.65,64.84,-22.33
