year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,244.72,244.72,244.72
2016-01-01,244.72,256.14,164.71
2017-01-01,244.72,270.07,155.42
2018-01-01,244.72,266.62,152.86
2019-01-01,244.72,262.76,150.73
2020-01-01,244.72,265.8,149.02
2021-01-01,244.72,272.77,139.73
2022-01-01,244.72,270.78,137.17
2023-01-01,244.72,266.97,135.04
2024-01-01,244.72,266.29,133.33
2025-01-01,244.72,269.72,124.05
2026-01-01,244.72,269.3,121.49
2027-01-01,244.72,267.33,119.35
2028-01-01,244.72,266.31,117.65
2029-01-01,244.72,268.2,108.36
2030-01-01,244.72,268.54,105.8
