,country,AR,sarimax,fbprophet
0,Argentina,14.8,23.555327812319977,23.163477781942714
1,Mexico,2.74,8.653890107462223,4.608086666102847
2,Netherlands,0.25,10.433647936019463,31.949575374858718
3,Austria,156.29,52.99814032371614,182.82832732031383
4,Italy,1.78,23.014496878080745,34.05382203127686
5,Belgium,3.07,21.557906485708504,63.95656326031871
6,Japan,276.05,100.6093335901356,96.30955922664756
7,Chile,9.55,13.947406622458637,46.18360166176176
8,Australia,40.32,5.7454806249026555,35.64064124556087
9,Spain,14.37,22.21322470892301,34.44077475047017
10,Thailand,24.4,20.59990208898245,17.253878633308155
11,New Zealand,40.95,17.610174924897215,23.232449835563298
12,Portugal,15.87,25.05764258340886,76.20525825088983
13,Colombia,15.27,4.751017832099684,27.654214100452236
14,France,375.5,53.71181417334916,152.40904857693903
15,Bulgaria,85.73,48.66014771175031,129.95289706273465
16,Greece,2.14,7.747466470142862,16.698352615149666
17,Canada,17.33,6.691871932480789,37.46275984087491
18,Ireland,16.89,12.889806411999796,24.759367023614416
19,Israel,8.52,19.160062330187642,62.62905906595021
20,Brazil,3.67,5.94811093009544,8.006977119213392
21,Iceland,28.26,38.62049778987953,52.537976776240505
22,Norway,25.16,12.585056935329138,32.71011401520222
23,Turkmenistan,66.38,32.30304281681306,43.960686173629725
24,Sweden,4.5,8.001462995598793,20.55411235222835
25,Ukraine,229.53,110.15469968143407,145.6599279336841
26,Finland,4.75,11.531092794496367,129.38483469590494
27,Russian Federation,92.73,142.89644884445224,265.73793534042534
28,Romania,9.85,13.357396698845243,11.948438464168813
29,Poland,18.78,66.63356586265394,29.492304031469853
30,Czech Republic,34.02,25.367433697889734,118.31885327147972
31,Germany,118.58,59.352108046936586,117.83480059644938
32,Armenia,9.03,5.786550998971694,12.072836757040426
33,Hungary,16.28,49.27824401763439,288.056035101893
34,Cuba,83.87,49.89887996002791,196.54273774121623
35,Denmark,1.74,35.85896374314913,107.09868725107357
36,Switzerland,27.14,94.45497128149235,82.91213412018261
37,Croatia,55.61,60.05018941191628,47.34537999154138
38,South Africa,3.15,5.2797278502195,5.7816001242133455
