,country,year,sex,age,suicides,population,sucid_in_hundredk,country-year,yearly_gdp,gdp_per_capita,generation,suicide%,internetusers,expenses,employeecompensation,unemployment,physician_price,laborforcetotal,lifeexpectancy,mobilesubscriptions,refugees,selfemployed,electricityacess,continent,country_code,mobilesubscription,clusters
120,Argentina,1995,male,75+ years,190,433800,43.8,Argentina1995,258032000000.0,8232,G.I. Generation,0.043798986,0.086277081,15.51123069,17.24344704,18.79999924,2.68,14979213.0,72.651,1.163985934,330.0,1.409000039,64.42668073101513,Americas,ARG,1.163985934,-1
121,Argentina,1995,male,55-74 years,515,2214000,23.26,Argentina1995,258032000000.0,8232,Silent,0.023261066,0.086277081,15.51123069,17.24344704,18.79999924,2.68,14979213.0,72.651,1.163985934,330.0,1.409000039,64.42668073101513,Americas,ARG,1.163985934,-1
156,Argentina,1998,male,75+ years,201,504164,39.87,Argentina1998,298948000000.0,9126,G.I. Generation,0.039867979,0.83076668,15.09880054,15.01475488,12.64999962,3.0021,16002610.0,73.213,7.406006174,142.0,1.325999975,64.42668073101513,Americas,ARG,7.406006174,-1
157,Argentina,1998,male,55-74 years,518,2274972,22.77,Argentina1998,298948000000.0,9126,Silent,0.022769511,0.83076668,15.09880054,15.01475488,12.64999962,3.0021,16002610.0,73.213,7.406006174,142.0,1.325999975,64.42668073101513,Americas,ARG,7.406006174,-1
192,Argentina,2001,male,75+ years,250,547473,45.66,Argentina2001,268697000000.0,7900,Silent,0.045664352,9.780807285,16.9923529,14.23871882,17.31999969,3.2311,16634521.0,73.755,18.08631275,659.0,1.092000008,95.51106347,Americas,ARG,18.08631275,-1
193,Argentina,2001,male,55-74 years,659,2358654,27.94,Argentina2001,268697000000.0,7900,Silent,0.027939664,9.780807285,16.9923529,14.23871882,17.31999969,3.2311,16634521.0,73.755,18.08631275,659.0,1.092000008,95.51106347,Americas,ARG,18.08631275,-1
204,Argentina,2002,male,75+ years,234,566447,41.31,Argentina2002,97724004252.0,2840,Silent,0.041310131,10.88212438,19.67717064,11.34474344,19.59000015,1.8176583660363892,16689404.0,73.932,17.42684502,771.0,1.113999963,96.10918427,Americas,ARG,17.42684502,-1
216,Argentina,2003,male,75+ years,272,581842,46.75,Argentina2003,127587000000.0,3668,Silent,0.046748086,11.91369655,19.83730299,11.67036691,15.35999966,1.8176583660363892,17037741.0,74.107,20.58984504,784.0,1.656999946,96.38056946,Americas,ARG,20.58984504,-1
228,Argentina,2004,male,75+ years,227,593409,38.25,Argentina2004,164658000000.0,4683,Silent,0.038253549,16.03668411,16.87634164,11.50601753,13.52200031,3.1662,17396580.0,74.28,35.10441866,796.0,1.307999969,96.62782288,Americas,ARG,35.10441866,-1
240,Argentina,2005,male,75+ years,225,601176,37.43,Argentina2005,198737000000.0,5590,Silent,0.037426644,17.72058337,20.10784848401848,9.737216151807884,11.50599957,3.21,17549561.0,74.451,56.96774563,856.0,1.026000023,96.84909058,Americas,ARG,56.96774563,-1
252,Argentina,2006,male,75+ years,246,620010,39.68,Argentina2006,232557000000.0,6475,Silent,0.039676779,20.9272021,20.10784848401848,9.737216151807884,10.07699966,1.8176583660363892,17862877.0,74.62,80.19976545,894.0,0.990999997,97.05487061,Americas,ARG,80.19976545,-1
300,Argentina,2010,male,75+ years,206,657096,31.35,Argentina2010,423627000000.0,11273,Silent,0.031350061,45.0,20.10784848401848,9.737216151807884,7.714000225,3.21,18285303.0,75.278,139.580018,557.0,0.783999979,98.82,Americas,ARG,139.580018,-1
312,Argentina,2011,male,75+ years,178,674738,26.38,Argentina2011,530163000000.0,13946,Silent,0.02638061,51.0,20.10784848401848,9.737216151807884,7.178999901,1.8176583660363892,18620588.0,75.439,146.9554555,518.0,0.718999982,99.34118652,Americas,ARG,146.9554555,-1
324,Argentina,2012,male,75+ years,225,688560,32.68,Argentina2012,545982000000.0,14203,Silent,0.032676891,55.8,20.10784848401848,9.737216151807884,7.217000008,1.8176583660363892,18831461.0,75.598,154.059023,447.0,0.550000012,99.60309601,Americas,ARG,154.059023,-1
336,Argentina,2013,male,75+ years,168,699046,24.03,Argentina2013,552025000000.0,14206,Silent,0.024032753,59.9,20.10784848401848,9.737216151807884,7.099999905,3.9066,18988880.0,75.756,159.6394613,388.0,0.538999975,99.57840729,Americas,ARG,159.6394613,-1
1150,Austria,1995,male,75+ years,184,147262,124.95,Austria1995,241038000000.0,32237,G.I. Generation,0.124947373,1.890210524,48.71839589,11.10666491,4.347000122,2.7,3862031.0,76.66829268,4.800115042,49.0,3.404999971,100.0,Europe,AUT,4.800115042,-1
1162,Austria,1996,male,75+ years,188,151691,123.94,Austria1996,237251000000.0,31660,G.I. Generation,0.12393616,6.909162353,48.73865514,10.92900063,5.281000137,2.8,3834266.0,76.87073171,7.467176728,52.0,3.595000029,100.0,Europe,AUT,7.467176728,-1
1174,Austria,1997,male,75+ years,159,156997,101.28,Austria1997,212790000000.0,28325,G.I. Generation,0.101275821,9.533974317,47.52280264,10.86237643,5.149000168,2.9,3823947.0,77.3195122,14.43692147,55.0,3.059999943,100.0,Europe,AUT,14.43692147,-1
1186,Austria,1998,male,75+ years,165,162132,101.77,Austria1998,218260000000.0,28972,G.I. Generation,0.101768929,15.42121932,47.25099659,10.76444238,5.522999763,3.1,3859067.0,77.67073171,28.51493275,60.0,2.798000097,100.0,Europe,AUT,28.51493275,-1
1198,Austria,1999,male,75+ years,149,167112,89.16,Austria1999,217186000000.0,28722,G.I. Generation,0.08916176,23.0443171,47.10873523,10.90530465,4.697999954,3.1,3888031.0,77.87560976,52.79261389,48.0,2.803999901,100.0,Europe,AUT,52.79261389,-1
1199,Austria,1999,male,55-74 years,329,725044,45.38,Austria1999,217186000000.0,28722,Silent,0.045376556,23.0443171,47.10873523,10.90530465,4.697999954,3.1,3888031.0,77.87560976,52.79261389,48.0,2.803999901,100.0,Europe,AUT,52.79261389,-1
1258,Austria,2004,male,75+ years,189,201792,93.66,Austria2004,300904000000.0,38711,Silent,0.093660799,54.28,48.60700877,9.831912599,5.834000111,1.8176583660363892,3891230.0,79.1804878,97.26408257,47.0,1.023000002,100.0,Europe,AUT,97.26408257,-1
1259,Austria,2004,male,55-74 years,308,771847,39.9,Austria2004,300904000000.0,38711,Silent,0.039904282,54.28,48.60700877,9.831912599,5.834000111,1.8176583660363892,3891230.0,79.1804878,97.26408257,47.0,1.023000002,100.0,Europe,AUT,97.26408257,-1
1270,Austria,2005,male,75+ years,166,210054,79.03,Austria2005,315974000000.0,40367,Silent,0.079027298,58.0,45.91237478,10.98662962,5.627999783,1.8176583660363892,4017205.0,79.33170732,104.9838556,66.0,1.38499999,100.0,Europe,AUT,104.9838556,-1
1271,Austria,2005,male,55-74 years,331,782050,42.32,Austria2005,315974000000.0,40367,Silent,0.04232466,58.0,45.91237478,10.98662962,5.627999783,1.8176583660363892,4017205.0,79.33170732,104.9838556,66.0,1.38499999,100.0,Europe,AUT,104.9838556,-1
1282,Austria,2006,male,75+ years,171,218168,78.38,Austria2006,335999000000.0,42698,Silent,0.078379964,63.6,45.18809616,11.07840155,5.243000031,3.66,4074387.0,79.8804878,112.0170885,34.0,1.445000052,100.0,Europe,AUT,112.0170885,-1
1294,Austria,2007,male,75+ years,170,225285,75.46,Austria2007,388691000000.0,49218,Silent,0.075459973,69.37,43.97791491,10.99749783,4.857999802,3.794,4162676.0,80.1804878,119.2243632,23.0,2.351999998,100.0,Europe,AUT,119.2243632,-1
1306,Austria,2008,male,75+ years,200,231083,86.55,Austria2008,430294000000.0,54294,Silent,0.086548989,72.87,44.57424041,10.9656601,4.127999783,1.8176583660363892,4209387.0,80.43170732,129.6644309,14.0,2.312000036,100.0,Europe,AUT,129.6644309,-1
1318,Austria,2009,male,75+ years,187,235822,79.3,Austria2009,400172000000.0,50356,Silent,0.079297097,73.45,47.84835665,10.80823683,5.301000118,1.8176583660363892,4256745.0,80.33170732,136.5634805,12.0,2.188999891,100.0,Europe,AUT,136.5634805,-1
1580,Belgium,1999,male,75+ years,148,251980,58.73,Belgium1999,260202000000.0,26969,G.I. Generation,0.05873482,13.77221446,43.35054417,6.910713088,8.649000168,3.8,4367000.0,77.6195122,31.07315732,16.0,2.464999914,100.0,Europe,BEL,31.07315732,-1
2134,Brazil,2014,male,35-54 years,3050,26475231,11.52,Brazil2014,2455990000000.0,12975,Generation X,0.011520202,23.54598740662217,20.10784848401848,9.737216151807882,5.647641456578487,1.8176583660363896,10778313.630009038,50.15684827925279,44.867005928499246,10732.38679245283,2.1575784826080144,64.42668073101511,Americas,BRA,0.0,-1
2137,Brazil,2014,female,35-54 years,871,27971096,3.11,Brazil2014,2455990000000.0,12975,Generation X,0.003113929,23.54598740662217,20.10784848401848,9.737216151807882,5.647641456578487,1.8176583660363896,10778313.630009038,50.15684827925279,44.867005928499246,10732.38679245283,2.1575784826080144,64.42668073101511,Americas,BRA,0.0,-1
2146,Brazil,2015,male,35-54 years,3238,26989063,12.0,Brazil2015,1802210000000.0,9431,Generation X,0.011997452,23.54598740662217,20.10784848401848,9.737216151807882,5.647641456578487,1.8176583660363896,10778313.630009038,50.15684827925279,44.867005928499246,10732.38679245283,2.1575784826080144,64.42668073101511,Americas,BRA,0.0,-1
2149,Brazil,2015,female,35-54 years,910,28461855,3.2,Brazil2015,1802210000000.0,9431,Generation X,0.003197262,23.54598740662217,20.10784848401848,9.737216151807882,5.647641456578487,1.8176583660363896,10778313.630009038,50.15684827925279,44.867005928499246,10732.38679245283,2.1575784826080144,64.42668073101511,Americas,BRA,0.0,-1
2324,Bulgaria,1999,male,75+ years,178,179600,99.11,Bulgaria1999,13495075366.0,1715,G.I. Generation,0.099109131,2.908154025,20.10784848401848,9.737216151807884,14.10000038,1.8176583660363892,3513877.0,71.41219512,4.338664767,2653.0,1.751000047,100.0,Europe,BGR,4.338664767,-1
2325,Bulgaria,1999,male,55-74 years,318,822900,38.64,Bulgaria1999,13495075366.0,1715,Silent,0.038643821,2.908154025,20.10784848401848,9.737216151807884,14.10000038,1.8176583660363892,3513877.0,71.41219512,4.338664767,2653.0,1.751000047,100.0,Europe,BGR,4.338664767,-1
2326,Bulgaria,1999,female,75+ years,76,270700,28.08,Bulgaria1999,13495075366.0,1715,G.I. Generation,0.02807536,2.908154025,20.10784848401848,9.737216151807884,14.10000038,1.8176583660363892,3513877.0,71.41219512,4.338664767,2653.0,1.751000047,100.0,Europe,BGR,4.338664767,-1
2327,Bulgaria,1999,male,35-54 years,301,1130200,26.63,Bulgaria1999,13495075366.0,1715,Boomers,0.026632454,2.908154025,20.10784848401848,9.737216151807884,14.10000038,1.8176583660363892,3513877.0,71.41219512,4.338664767,2653.0,1.751000047,100.0,Europe,BGR,4.338664767,-1
2348,Bulgaria,2001,male,75+ years,162,192843,84.01,Bulgaria2001,14075616789.0,1854,Silent,0.08400616,7.612297749,20.10784848401848,9.737216151807884,19.92099953,1.8176583660363892,3508802.0,71.76829268,19.54429513,2121.0,1.552999973,100.0,Europe,BGR,19.54429513,-1
2360,Bulgaria,2002,male,75+ years,181,198560,91.16,Bulgaria2002,16276456428.0,2157,Silent,0.091156326,9.08,20.10784848401848,9.737216151807884,18.10899925,1.8176583660363892,3419547.0,71.86585366,33.02147316,2841.0,1.702999949,100.0,Europe,BGR,33.02147316,-1
2372,Bulgaria,2003,male,75+ years,164,202364,81.04,Bulgaria2003,20982685981.0,2800,Silent,0.081042083,12.04,20.10784848401848,9.737216151807884,13.7329998,3.562,3350024.0,72.06585366,44.8581374,2567.0,2.026000023,100.0,Europe,BGR,44.8581374,-1
2384,Bulgaria,2004,male,75+ years,142,206158,68.88,Bulgaria2004,25957970922.0,3485,Silent,0.068879209,18.13,20.10784848401848,9.737216151807884,12.0369997,1.8176583660363892,3392332.0,72.56341463,61.07108769,2215.0,2.15199995,100.0,Europe,BGR,61.07108769,-1
2396,Bulgaria,2005,male,75+ years,126,209811,60.05,Bulgaria2005,29636617750.0,4003,Silent,0.060054049,19.97,31.73930462,19.6678761,10.08300018,1.8176583660363892,3333125.0,72.56097561,81.24044323,4254.0,1.544999957,100.0,Europe,BGR,81.24044323,-1
2397,Bulgaria,2005,male,55-74 years,269,807787,33.3,Bulgaria2005,29636617750.0,4003,Silent,0.033300858,19.97,31.73930462,19.6678761,10.08300018,1.8176583660363892,3333125.0,72.56097561,81.24044323,4254.0,1.544999957,100.0,Europe,BGR,81.24044323,-1
2408,Bulgaria,2006,male,75+ years,154,212480,72.48,Bulgaria2006,34130122491.0,4638,Silent,0.07247741,27.09,29.86591092,20.14230323,8.951000214,3.66,3439759.0,72.61219512,108.1562445,3438.0,1.279000044,100.0,Europe,BGR,108.1562445,-1
2409,Bulgaria,2006,male,55-74 years,274,807552,33.93,Bulgaria2006,34130122491.0,4638,Silent,0.033929704,27.09,29.86591092,20.14230323,8.951000214,3.66,3439759.0,72.61219512,108.1562445,3438.0,1.279000044,100.0,Europe,BGR,108.1562445,-1
2420,Bulgaria,2007,male,75+ years,151,215225,70.16,Bulgaria2007,44411476557.0,6073,Silent,0.070159136,33.64,32.82935207,18.33842097,6.877999783,3.665,3513573.0,72.66341463,130.6309287,3311.0,1.164999962,100.0,Europe,BGR,130.6309287,-1
2432,Bulgaria,2008,male,75+ years,132,218689,60.36,Bulgaria2008,54409138498.0,7487,Silent,0.060359689,39.67,31.87554824,19.60136675,5.609000206,3.635,3576821.0,72.96341463,138.6083388,3040.0,1.011999965,100.0,Europe,BGR,138.6083388,-1
