country,year,sex,age,suicides,population,sucid_in_hundredk,country-year,yearly_gdp,gdp_per_capita,generation,suicide%,internetusers,expenses,employeecompensation,unemployment,physician_price,laborforcetotal,lifeexpectancy,mobilesubscriptions,refugees,selfemployed,electricityacess,continent,country_code,mobilesubscription
Argentina,1985,male,75+ years,202,363000,55.65,Argentina1985,88416668900,3264,G.I. Generation,0.055647383,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,male,55-74 years,485,1997000,24.29,Argentina1985,88416668900,3264,G.I. Generation,0.02428643,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,male,35-54 years,414,3346300,12.37,Argentina1985,88416668900,3264,Silent,0.012371873,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,female,55-74 years,210,2304000,9.11,Argentina1985,88416668900,3264,G.I. Generation,0.009114583,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,male,25-34 years,177,2234200,7.92,Argentina1985,88416668900,3264,Boomers,0.007922299,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,female,75+ years,41,537000,7.64,Argentina1985,88416668900,3264,G.I. Generation,0.007635009,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,male,15-24 years,156,2415200,6.46,Argentina1985,88416668900,3264,Generation X,0.006459092,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,female,35-54 years,142,3355300,4.23,Argentina1985,88416668900,3264,Silent,0.00423211,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,female,25-34 years,65,2185200,2.97,Argentina1985,88416668900,3264,Boomers,0.002974556,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,female,15-24 years,69,2354200,2.93,Argentina1985,88416668900,3264,Generation X,0.002930932,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,male,5-14 years,16,3044200,0.53,Argentina1985,88416668900,3264,Generation X,0.00052559,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1985,female,5-14 years,11,2955200,0.37,Argentina1985,88416668900,3264,Generation X,0.000372225,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,male,75+ years,230,365000,63.01,Argentina1986,1.10934E+11,4072,G.I. Generation,0.063013699,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,male,55-74 years,530,2008300,26.39,Argentina1986,1.10934E+11,4072,G.I. Generation,0.02639048,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,male,35-54 years,478,3365200,14.2,Argentina1986,1.10934E+11,4072,Silent,0.014204208,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,male,25-34 years,209,2246900,9.3,Argentina1986,1.10934E+11,4072,Boomers,0.009301705,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,female,75+ years,48,540200,8.89,Argentina1986,1.10934E+11,4072,G.I. Generation,0.008885598,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,female,55-74 years,201,2317100,8.67,Argentina1986,1.10934E+11,4072,G.I. Generation,0.008674636,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,male,15-24 years,186,2428900,7.66,Argentina1986,1.10934E+11,4072,Generation X,0.007657787,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,female,35-54 years,188,3374300,5.57,Argentina1986,1.10934E+11,4072,Silent,0.005571526,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,female,25-34 years,96,2197600,4.37,Argentina1986,1.10934E+11,4072,Boomers,0.004368402,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,female,15-24 years,101,2367600,4.27,Argentina1986,1.10934E+11,4072,Generation X,0.004265923,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,male,5-14 years,10,3061400,0.33,Argentina1986,1.10934E+11,4072,Generation X,0.000326648,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1986,female,5-14 years,7,2971900,0.24,Argentina1986,1.10934E+11,4072,Generation X,0.00023554,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1987,male,75+ years,200,369800,54.08,Argentina1987,1.11106E+11,4026,G.I. Generation,0.054083288,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1987,male,55-74 years,532,2034500,26.15,Argentina1987,1.11106E+11,4026,G.I. Generation,0.026148931,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1987,male,35-54 years,482,3409100,14.14,Argentina1987,1.11106E+11,4026,Silent,0.014138629,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1987,female,75+ years,57,547000,10.42,Argentina1987,1.11106E+11,4026,G.I. Generation,0.010420475,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1987,female,55-74 years,224,2347300,9.54,Argentina1987,1.11106E+11,4026,G.I. Generation,0.009542879,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
Argentina,1987,male,25-34 years,192,2276200,8.44,Argentina1987,1.11106E+11,4026,Boomers,0.008435111,23.54598741,20.10784848,9.737216152,5.647641457,1.817658366,10778313.63,50.15684828,44.86700593,10732.38679,2.157578483,64.42668073,Americas,ARG,0
